TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,DEFAULT_VALUE,COLUMN_COMMENT
SCOTT,EMP,EMPNO,1,NUMBER,22,4,0,NO,,Employee number
SCOTT,EMP,ENAME,2,VARCHAR2,10,,,YES,,Employee name
SCOTT,EMP,JOB,3,VARCHAR2,9,,,YES,,Job title
SCOTT,EMP,MGR,4,NUMBER,22,4,0,YES,,Manager ID
SCOTT,EMP,HIREDATE,5,DATE,,,,YES,,Hire date
SCOTT,EMP,SAL,6,NUMBER,22,7,2,YES,,Salary
SCOTT,EMP,COMM,7,NUMBER,22,7,2,YES,,Commission
SCOTT,EMP,DEPTNO,8,NUMBER,22,2,0,NO,,Department number
SCOTT,DEPT,DEPTNO,1,NUMBER,22,2,0,NO,,Department number
SCOTT,DEPT,DNAME,2,VARCHAR2,14,,,YES,,Department name
SCOTT,DEPT,LOC,3,VARCHAR2,13,,,YES,,Location
